source,artifact_type,intended_use,copy_status,verification_required
Obsidian_help,documentation,principle_research,no_copy,source_terms
Anthropic_docs,documentation,principle_research,no_copy,source_terms
Letta,source_repository,architecture_research,no_code_import,license_at_pinned_revision
LangGraph_docs,documentation,principle_research,no_copy,source_terms
LlamaIndex_docs,documentation,principle_research,no_copy,source_terms
Microsoft_GraphRAG,source_and_docs,architecture_research,no_code_import,license_at_pinned_revision
Zep_docs,documentation,principle_research,no_copy,source_terms
Cognee,source_repository,architecture_research,no_code_import,license_at_pinned_revision
Mem0,source_repository,architecture_research,no_code_import,license_at_pinned_revision
GitHub_docs,documentation,principle_research,no_copy,source_terms
Sourcegraph_docs,documentation,principle_research,no_copy,source_terms
Temporal_docs,documentation,workflow_research,no_copy,source_terms
Moonshot_Kimi_K2_7_Code,model_weights_and_model_card,provider_and_eval_research,no_code_or_weights_import,modified_MIT_and_model_card_at_pinned_revision
Moonshot_Kimi_Linear,source_models_and_paper,attention_architecture_research,no_code_or_weights_import,repository_and_model_license_at_pinned_revision
Moonshot_Kimi_Agent_SDK,source_repository,agent_runtime_contract_research,no_code_import,Apache-2.0_at_pinned_revision
Qwen_Agent,source_repository,tool_and_MCP_adapter_research,no_code_import,repository_license_at_pinned_revision
DeepSeek_DeepGEMM,source_repository,kernel_admission_research,no_code_import,MIT_at_pinned_revision
DeepSeek_DeepEP,source_repository,expert_parallel_research,no_code_import,MIT_at_pinned_revision
DeepSeek_Engram,source_repository,memory_architecture_research,no_code_import,Apache-2.0_at_pinned_revision
MiniMax_M2,model_weights_source_and_docs,serving_and_tool_conformance_research,no_code_or_weights_import,custom_model_license_at_pinned_revision
